dep;jour;n_dose1;n_complet;n_rappel;n_2_rappel;n_rappel_biv;n_3_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;n_cum_2_rappel;n_cum_rappel_biv;n_cum_3_rappel;couv_dose1;couv_complet;couv_rappel;couv_2_rappel;couv_rappel_biv;couv_3_rappel
01;2020-12-27;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2020-12-28;1;1;0;0;0;0;1;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2020-12-29;0;0;0;0;0;0;1;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2020-12-30;0;0;0;0;0;0;1;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2020-12-31;1;0;0;0;0;0;2;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2021-01-01;5;0;0;0;0;0;7;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2021-01-02;0;0;0;0;0;0;7;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2021-01-03;0;0;0;0;0;0;7;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2021-01-04;1;0;0;0;0;0;8;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2021-01-05;13;1;0;0;0;0;21;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2021-01-06;23;0;0;0;0;0;44;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2021-01-07;115;0;0;0;0;0;159;2;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
01;2021-01-08;239;0;0;0;0;0;398;2;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
01;2021-01-09;30;1;0;0;0;0;428;3;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
01;2021-01-10;0;0;0;0;0;0;428;3;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
01;2021-01-11;225;0;0;0;0;0;653;3;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
01;2021-01-12;411;1;0;0;0;0;1064;4;0;0;0;0;0.2;0.0;0.0;0.0;0.0;0.0
01;2021-01-13;540;1;0;0;0;0;1604;5;0;0;0;0;0.2;0.0;0.0;0.0;0.0;0.0
01;2021-01-14;645;6;0;0;0;0;2249;11;0;0;0;0;0.3;0.0;0.0;0.0;0.0;0.0
01;2021-01-15;538;4;0;0;0;0;2787;15;0;0;0;0;0.4;0.0;0.0;0.0;0.0;0.0
01;2021-01-16;222;0;0;0;0;0;3009;15;0;0;0;0;0.5;0.0;0.0;0.0;0.0;0.0
01;2021-01-17;128;0;0;0;0;0;3137;15;0;0;0;0;0.5;0.0;0.0;0.0;0.0;0.0
01;2021-01-18;530;2;0;0;0;0;3667;17;0;0;0;0;0.6;0.0;0.0;0.0;0.0;0.0
01;2021-01-19;1111;2;0;0;0;0;4778;19;0;0;0;0;0.7;0.0;0.0;0.0;0.0;0.0
01;2021-01-20;1363;2;0;0;0;0;6141;21;0;0;0;0;0.9;0.0;0.0;0.0;0.0;0.0
01;2021-01-21;1238;7;0;0;0;0;7379;28;0;0;0;0;1.1;0.0;0.0;0.0;0.0;0.0
01;2021-01-22;839;4;0;0;0;0;8218;32;0;0;0;0;1.2;0.0;0.0;0.0;0.0;0.0
01;2021-01-23;285;2;0;0;0;0;8503;34;0;0;0;0;1.3;0.0;0.0;0.0;0.0;0.0
01;2021-01-24;73;2;0;0;0;0;8576;36;0;0;0;0;1.3;0.0;0.0;0.0;0.0;0.0
01;2021-01-25;633;2;0;0;0;0;9209;38;0;0;0;0;1.4;0.0;0.0;0.0;0.0;0.0
01;2021-01-26;816;6;0;0;0;0;10025;44;0;0;0;0;1.5;0.0;0.0;0.0;0.0;0.0
01;2021-01-27;662;21;0;0;0;0;10687;65;0;0;0;0;1.6;0.0;0.0;0.0;0.0;0.0
01;2021-01-28;756;110;0;0;0;0;11443;175;0;0;0;0;1.7;0.0;0.0;0.0;0.0;0.0
